Variable Group Description,Age Group Description,Geography,Values,YEAR,Definition,Dataset,Geography Level,FIPS,NAME,Role
Male,60 to 64,Washington,236105.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Male,55 to 59,United States,10670828.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
White Male,55 to 59,United States,6840714.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
All,30 to 34,,250.12099786555876,2007,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,35 to 39,,105.98845896524756,1971,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Male,80 to 84,Washington,364.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Male,75 to 79,Seattle MSA,32464.0,2015,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Female,80 to 84,,27668.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,30 to 34,"Pierce County, WA",2137.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Female,60 to 64,"Pierce County, WA",135.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
All,35 to 39,United States,21756.55858365565,2002,nan,Moodys,National,00,United States,Benchmark
Male,80 to 84,Washington,56588.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Male,65 to 69,Washington,706.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Male,20 to 24,"Pierce County, WA",3277.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Male,85+,Seattle MSA,332.0,2014,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native American Female,35 to 39,Washington,3141.0,2017,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Multiracial Female,10 to 14,,13270.0,2022,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,15 to 19,United States,21353.214071832987,1979,nan,Moodys,National,00,United States,Benchmark
Female,65 to 69,Seattle MSA,63985.0,2010,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,75 to 79,,1005.0,2014,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,30 to 34,Seattle MSA,1325.0,2012,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Multiracial Male,45 to 49,,3047.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Female,45 to 49,,1236.0,2016,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,0 to 4,,19282.0,2022,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Female,30 to 34,"Pierce County, WA",719.0,2020,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Black or African American Male,65 to 69,,5458.0,2022,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Male,55 to 59,Washington,4520.0,2023,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Male,75 to 79,"Pierce County, WA",75.0,2017,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Black or African American Female,75 to 79,Seattle MSA,1434.0,2015,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Female,65 to 69,"Pierce County, WA",18306.0,2019,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Black or African American Female,55 to 59,Washington,7877.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Male,85+,Seattle MSA,87.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native American Male,25 to 29,United States,102330.0,2018,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Female,70 to 74,Washington,5364.0,2017,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Multiracial Female,85+,"Pierce County, WA",72.0,2013,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Hispanic Female,0 to 4,United States,2480069.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Male,60 to 64,"Pierce County, WA",2139.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native American Female,0 to 4,United States,83223.0,2013,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,5 to 9,Washington,409.5319999999979,2002,nan,Moodys,State,53,Washington,Benchmark
All,45 to 49,Seattle MSA,100.40818744108492,1976,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Asian Male,70 to 74,,8099.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,15 to 19,United States,2578554.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Black or African American Male,60 to 64,"Pierce County, WA",2171.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
White Female,60 to 64,United States,6928884.0,2013,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,5 to 9,United States,19625.51581849665,2003,nan,Moodys,National,00,United States,Benchmark
Black or African American Female,45 to 49,,7209.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,25 to 29,,1837.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,55 to 59,,13341.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Female,15 to 19,"Pierce County, WA",2812.0,2017,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Female,5 to 9,United States,390706.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Female,45 to 49,Seattle MSA,1144.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
All,15 to 19,Seattle MSA,165.36098154316514,1993,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Asian Female,5 to 9,Seattle MSA,13844.0,2015,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Male,40 to 44,Washington,1580.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Multiracial Female,55 to 59,United States,124202.0,2019,nan,PEP_Vintage_2020,National,00,United States,Benchmark
White Female,30 to 34,,84675.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,65 to 69,Washington,15883.0,2017,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Multiracial Female,20 to 24,United States,372439.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native American Female,60 to 64,"Pierce County, WA",217.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,80 to 84,United States,2824538.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Male,65 to 69,United States,49575.0,2012,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Asian Male,15 to 19,Seattle MSA,15211.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Male,0 to 4,Washington,126368.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Hispanic Female,85+,Seattle MSA,972.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Hispanic Male,75 to 79,United States,283096.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Female,45 to 49,,1298.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,80 to 84,"Pierce County, WA",710.0,2019,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
All,65+,"Pierce County, WA",41.24741163704172,1977,nan,Moodys,County,53053,Pierce County,Broad
All,45 to 49,Seattle MSA,134.5483893278245,1988,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
White Female,25 to 29,"Pierce County, WA",19737.0,2012,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
All,50 to 54,"Pierce County, WA",23.064975758706694,1980,nan,Moodys,County,53053,Pierce County,Broad
Asian Female,70 to 74,Washington,6702.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Male,5 to 9,,7917.0,2014,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,15 to 19,Seattle MSA,161.79250197478095,1986,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Hispanic Male,80 to 84,United States,230018.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Black or African American Female,10 to 14,Seattle MSA,6952.0,2012,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Male,45 to 49,"Pierce County, WA",28781.0,2011,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
All,5 to 9,Seattle MSA,150.58547931297682,1974,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
All,30 to 34,,249.82200047201525,2006,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Female,15 to 19,,121637.0,2024,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Female,65 to 69,Washington,218829.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,30 to 34,"Pierce County, WA",44.28009326251208,1983,nan,Moodys,County,53053,Pierce County,Broad
Asian Female,55 to 59,United States,636535.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Male,60 to 64,United States,9297699.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
All,45 to 49,"Pierce County, WA",22.51958072907767,1978,nan,Moodys,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,10 to 14,United States,19895.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Female,30 to 34,Seattle MSA,19309.0,2022,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Multiracial Female,65 to 69,Seattle MSA,2042.0,2023,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Multiracial Female,25 to 29,Washington,15107.0,2023,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
White Male,65 to 69,"Pierce County, WA",16280.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
All,60 to 64,Washington,141.8845076215259,1971,nan,Moodys,State,53,Washington,Benchmark
White Female,80 to 84,United States,2668898.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Male,80 to 84,"Pierce County, WA",57.0,2020,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
White Female,35 to 39,Seattle MSA,84507.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,80 to 84,,1121.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Male,45 to 49,"Pierce County, WA",19582.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Male,65 to 69,United States,443460.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Male,15 to 19,,14800.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,55 to 59,Washington,7961.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native American Female,85+,Washington,588.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Asian Female,70 to 74,Washington,8985.0,2015,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,0 to 4,Seattle MSA,123.66517150981451,1977,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
All,55 to 59,,116.21100334417126,1994,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Male,10 to 14,United States,5347190.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,70 to 74,Washington,668.0,2023,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,65+,"Pierce County, WA",38.81794472699583,1975,nan,Moodys,County,53053,Pierce County,Broad
Native American Male,20 to 24,Washington,3732.0,2017,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
White Male,65 to 69,Washington,163097.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
White Male,40 to 44,United States,6177552.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Female,60 to 64,,1010.0,2014,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,30 to 34,"Pierce County, WA",1975.0,2017,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,75 to 79,"Pierce County, WA",7204.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Multiracial Female,50 to 54,Seattle MSA,3761.0,2023,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,85+,"Pierce County, WA",169.0,2017,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,75 to 79,Seattle MSA,41650.0,2021,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
All,30 to 34,United States,21950.297777415683,1996,nan,Moodys,National,00,United States,Benchmark
Female,70 to 74,,90817.0,2021,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,75 to 79,Washington,5025.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Male,55 to 59,Seattle MSA,118911.0,2023,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Male,35 to 39,,136305.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,55 to 59,,678.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Male,75 to 79,Seattle MSA,34030.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Male,30 to 34,,18431.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,60 to 64,United States,16130.377384927991,2009,nan,Moodys,National,00,United States,Benchmark
White Female,40 to 44,Washington,151514.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Male,40 to 44,United States,11253735.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Male,20 to 24,United States,2347469.0,2011,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Male,65 to 69,,2907.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,50 to 54,Washington,194.52850863979327,1973,nan,Moodys,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Male,70 to 74,United States,8615.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
All,55 to 59,"Pierce County, WA",17.809193350548433,1972,nan,Moodys,County,53053,Pierce County,Broad
Native American Female,10 to 14,"Pierce County, WA",344.0,2014,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Asian Female,40 to 44,United States,792952.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,80 to 84,United States,1781.0,2013,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Female,5 to 9,"Pierce County, WA",3747.0,2017,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
All,20 to 24,"Pierce County, WA",52.63596871751935,1984,nan,Moodys,County,53053,Pierce County,Broad
All,55 to 59,Seattle MSA,96.4192898823859,1985,"Snohomish, King, and Pierce Counties, WA",Moodys,CBSA,42660,Seattle MSA,Benchmark
Native American Male,20 to 24,,1529.0,2016,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,10 to 14,Washington,17995.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Female,75 to 79,Washington,2470.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Asian Male,80 to 84,"Pierce County, WA",300.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Male,50 to 54,Washington,241884.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Black or African American Male,80 to 84,,604.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Male,55 to 59,United States,7464935.0,2013,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,35 to 39,Washington,1560.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Male,0 to 4,United States,86083.0,2013,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Multiracial Female,70 to 74,"Pierce County, WA",195.0,2015,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,70 to 74,,42687.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,25 to 29,,20373.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Female,30 to 34,Washington,2488.0,2018,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
White Female,75 to 79,Washington,111855.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Male,55 to 59,Seattle MSA,977.0,2024,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,25 to 29,Washington,11144.0,2011,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Male,65 to 69,,6028.0,2024,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Male,55 to 59,,1147.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,80 to 84,,607.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Male,65 to 69,United States,739787.0,2017,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Female,50 to 54,Washington,8240.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
White Male,50 to 54,,85100.0,2024,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,50 to 54,"Pierce County, WA",2626.0,2024,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
White Female,40 to 44,United States,6593947.0,2010,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Male,60 to 64,,96595.0,2010,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,75 to 79,Washington,3172.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native American Male,45 to 49,United States,72946.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Female,60 to 64,Washington,4364.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Multiracial Male,40 to 44,Washington,5957.0,2015,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Female,20 to 24,Washington,2078.0,2015,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,15 to 19,Washington,325.401005175485,1991,nan,Moodys,State,53,Washington,Benchmark
Asian Male,30 to 34,Seattle MSA,45573.0,2024,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Asian Female,0 to 4,,12479.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,80 to 84,United States,99314.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Asian Female,55 to 59,Seattle MSA,16770.0,2018,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Male,25 to 29,Seattle MSA,1781.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Female,20 to 24,,1532.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,0 to 4,,237.02800098891015,2009,nan,Moodys,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,30 to 34,Washington,175502.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
All,45 to 49,Washington,394.9149975507689,1995,nan,Moodys,State,53,Washington,Benchmark
Native American Male,25 to 29,United States,102621.0,2019,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Male,65 to 69,United States,891883.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Asian Male,20 to 24,,17621.0,2013,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native Hawaiian and Other Pacific Islander Male,75 to 79,,256.0,2022,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Male,55 to 59,"Pierce County, WA",1388.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
White Female,55 to 59,Seattle MSA,95239.0,2013,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Asian Female,5 to 9,Seattle MSA,16456.0,2019,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Male,40 to 44,United States,2285516.0,2021,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Female,60 to 64,United States,12999.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Female,35 to 39,Seattle MSA,12063.0,2010,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Female,45 to 49,Seattle MSA,90857.0,2012,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Male,75 to 79,,1930.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Female,60 to 64,Washington,4982.0,2012,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Native Hawaiian and Other Pacific Islander Female,50 to 54,United States,18942.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Native Hawaiian and Other Pacific Islander Male,80 to 84,Seattle MSA,100.0,2020,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Male,40 to 44,,1704.0,2023,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Male,50 to 54,Seattle MSA,8067.0,2017,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Female,85+,United States,4093329.0,2015,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Native American Female,35 to 39,,1285.0,2016,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,15 to 19,"Pierce County, WA",41.645829463537,1988,nan,Moodys,County,53053,Pierce County,Broad
Multiracial Female,60 to 64,Washington,4603.0,2021,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Asian Male,25 to 29,"Pierce County, WA",2420.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Native American Female,55 to 59,"Pierce County, WA",329.0,2022,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
Hispanic Male,35 to 39,"Pierce County, WA",4164.0,2018,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native American Male,45 to 49,United States,68836.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
White Male,20 to 24,Seattle MSA,72263.0,2010,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,10 to 14,"Pierce County, WA",5177.0,2019,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,10 to 14,"Pierce County, WA",473.0,2010,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Female,35 to 39,Seattle MSA,138962.0,2016,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
White Male,5 to 9,Seattle MSA,61700.0,2017,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,60 to 64,,4931.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Female,50 to 54,Seattle MSA,1138.0,2019,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Native Hawaiian and Other Pacific Islander Male,85+,United States,2924.0,2023,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Multiracial Male,25 to 29,,9953.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Male,0 to 4,Washington,8890.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Black or African American Male,20 to 24,United States,1676987.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Hispanic Male,15 to 19,Washington,37315.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Hispanic Male,35 to 39,Washington,47143.0,2024,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Multiracial Male,85+,United States,13417.0,2016,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Female,5 to 9,United States,1377286.0,2020,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Female,60 to 64,Washington,15276.0,2022,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Native American Male,65 to 69,,493.0,2011,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Multiracial Female,30 to 34,Washington,11488.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
White Female,25 to 29,Washington,160267.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Asian Male,40 to 44,United States,845199.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Asian Male,5 to 9,United States,638179.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
