Variable Group Description,Age Group Description,Geography,Values,YEAR,Definition,Dataset,Geography Level,FIPS,NAME,Role
Native Hawaiian and Other Pacific Islander Female,5 to 9,Washington,1861.0,2015,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Hispanic Female,5 to 9,Washington,44871.0,2012,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Hispanic Female,55 to 59,Washington,14110.0,2016,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Male,40 to 44,,137658.0,2015,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
White Female,10 to 14,Washington,130691.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Asian Male,10 to 14,United States,494422.0,2014,nan,PEP_Vintage_2020,National,00,United States,Benchmark
Black or African American Male,15 to 19,United States,1499469.0,2022,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Hispanic Female,40 to 44,,15602.0,2020,nan,PEP_Vintage_2024,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Male,40 to 44,Washington,28258.0,2013,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
All,50 to 54,United States,21645.807463432287,2008,nan,Moodys,National,00,United States,Benchmark
All,55 to 59,"Pierce County, WA",43.8200008567273,2005,nan,Moodys,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,60 to 64,Seattle MSA,929.0,2024,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2024,CBSA,42660,Seattle MSA,Benchmark
White Female,40 to 44,,82548.0,2016,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Black or African American Male,55 to 59,,7822.0,2017,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Asian Female,35 to 39,Washington,35943.0,2020,nan,PEP_Vintage_2024,State,53,Washington,Benchmark
Hispanic Male,85+,Washington,1540.0,2019,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
Female,15 to 19,"Pierce County, WA",26620.0,2021,nan,PEP_Vintage_2024,County,53053,Pierce County,Broad
White Male,45 to 49,Seattle MSA,98953.0,2010,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Black or African American Female,75 to 79,Seattle MSA,1627.0,2019,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Female,10 to 14,,17092.0,2014,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Native American Male,65 to 69,,755.0,2018,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
All,20 to 24,Washington,354.2009933400978,1991,nan,Moodys,State,53,Washington,Benchmark
Hispanic Male,35 to 39,Seattle MSA,15696.0,2014,"Snohomish, King, and Pierce Counties, WA",PEP_Vintage_2020,CBSA,42660,Seattle MSA,Benchmark
Hispanic Male,80 to 84,United States,260602.0,2024,nan,PEP_Vintage_2024,National,00,United States,Benchmark
Black or African American Male,70 to 74,"Pierce County, WA",576.0,2016,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Black or African American Male,0 to 4,"Pierce County, WA",1784.0,2012,nan,PEP_Vintage_2020,County,53053,Pierce County,Broad
Native Hawaiian and Other Pacific Islander Male,45 to 49,,944.0,2012,nan,PEP_Vintage_2020,Region,53033-53035-53053-53061,Puget Sound Region,Benchmark
Hispanic Female,35 to 39,Washington,27421.0,2010,nan,PEP_Vintage_2020,State,53,Washington,Benchmark
