Year,Geography Level,NAME,FIPS,Value Type,Source,Dataset,Values,Role
2010,State,Washington,53,NPOPCHG,Census-County-State-US,PEP_Vintage_2020,18469.0,Benchmark
1992,Region,Puget Sound Region,53033-53035-53053-53061,RESIDUAL,Moodys-County,Moodys,-1099.8622819873146,Benchmark
2009,Region,Puget Sound Region,53033-53035-53053-53061,POPESTIMATE,Moodys-County,Moodys,3663597.0000000005,Benchmark
1987,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Moodys-County,Moodys,11347.505902534223,Benchmark
2011,County or Equivalent,Pierce County,53053,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,1.6792150356,Broad
1991,State,Washington,53,DOMESTICMIG,Moodys-State,Moodys,68000.17940565856,Benchmark
1995,County or Equivalent,Pierce County,53053,NATURALCHG,Moodys-County,Moodys,4827.503282651068,Broad
1985,Metropolitan Statistical Area,Seattle MSA,42660,DEATHS,Moodys-CBSA,Moodys,-16736.503931219344,Benchmark
2012,Region,Puget Sound Region,53033-53035-53053-53061,RESIDUAL,Census-County-State-US,PEP_Vintage_2020,-72.0,Benchmark
2000,State,Washington,53,DEATHS,Moodys-State,Moodys,-44337.36239450792,Benchmark
2025,Region,Puget Sound Region,53033-53035-53053-53061,NPOPCHG,Census-County-State-US,PEP_Vintage_2025,45714.0,Benchmark
2016,Metropolitan Statistical Area,Seattle MSA,42660,RESIDUAL,Census-CBSA,PEP_Vintage_2020,164.0,Benchmark
2025,Region,Puget Sound Region,53033-53035-53053-53061,RESIDUAL,Census-County-State-US,PEP_Vintage_2025,388.0,Benchmark
2018,County or Equivalent,Pierce County,53053,NETMIG,Census-County-State-US,PEP_Vintage_2020,9648.0,Broad
2023,National,United States,00,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2025,2264137.0,Benchmark
1988,Metropolitan Statistical Area,Seattle MSA,42660,POPESTIMATE,Moodys-CBSA,Moodys,2426389.10703379,Benchmark
2020,County or Equivalent,Pierce County,53053,NPOPCHG,Census-County-State-US,PEP_Vintage_2025,2458.0,Broad
2003,State,Washington,53,RESIDUAL,Moodys-State,Moodys,-3160.0000000000005,Benchmark
2003,Region,Puget Sound Region,53033-53035-53053-53061,DEATHS,Moodys-County,Moodys,-22787.983926460744,Benchmark
2010,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,-4484.0,Benchmark
2015,Region,Puget Sound Region,53033-53035-53053-53061,RDEATH,Census-County-State-US,PEP_Vintage_2020,28.8258155288,Benchmark
2001,State,Washington,53,BIRTHS,Moodys-State,Moodys,80623.36028982123,Benchmark
2012,State,Washington,53,DEATHS,Census-County-State-US,PEP_Vintage_2020,-49429.0,Benchmark
2013,State,Washington,53,GQESTIMATES,Census-County-State-US,PEP_Vintage_2020,144245.0,Benchmark
2013,Region,Puget Sound Region,53033-53035-53053-53061,NPOPCHG,Census-County-State-US,PEP_Vintage_2020,52001.0,Benchmark
2021,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,-36586.0,Benchmark
2024,Region,Puget Sound Region,53033-53035-53053-53061,RDOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,2.8913759149999994,Benchmark
2016,County or Equivalent,Pierce County,53053,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,12350.0,Broad
2019,State,Washington,53,DEATHS,Census-County-State-US,PEP_Vintage_2020,-58488.0,Benchmark
2008,State,Washington,53,RESIDUAL,Moodys-State,Moodys,-219.00000000000006,Benchmark
1992,County or Equivalent,Pierce County,53053,BIRTHS,Moodys-County,Moodys,10532.749359812622,Broad
2018,County or Equivalent,Pierce County,53053,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,8560.0,Broad
2024,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,-9705.0,Benchmark
1987,County or Equivalent,Pierce County,53053,POPESTIMATE,Moodys-County,Moodys,545011.4604851045,Broad
2021,Region,Puget Sound Region,53033-53035-53053-53061,RNATURALCHG,Census-County-State-US,PEP_Vintage_2025,12.191281082,Benchmark
1985,National,United States,00,DOMESTICMIG,Moodys-US,Moodys,996.3011807235271,Benchmark
1997,State,Washington,53,NATURALCHG,Moodys-State,Moodys,35219.82919339716,Benchmark
1985,County or Equivalent,Pierce County,53053,RESIDUAL,Moodys-County,Moodys,-200.37933945043653,Broad
2011,National,United States,00,NATURALCHG,Census-County-State-US,PEP_Vintage_2020,1461043.0,Benchmark
2015,Metropolitan Statistical Area,Seattle MSA,42660,GQESTIMATES,Census-CBSA,PEP_Vintage_2020,67458.0,Benchmark
2013,Region,Puget Sound Region,53033-53035-53053-53061,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,16650.0,Benchmark
2015,Metropolitan Statistical Area,Seattle MSA,42660,RBIRTH,Census-CBSA,PEP_Vintage_2020,38.452838658000005,Benchmark
2019,State,Washington,53,NATURALCHG,Census-County-State-US,PEP_Vintage_2020,27747.0,Benchmark
2020,State,Washington,53,NPOPCHG,Census-County-State-US,PEP_Vintage_2025,19293.0,Benchmark
1983,Metropolitan Statistical Area,Seattle MSA,42660,DEATHS,Moodys-CBSA,Moodys,-15811.66615635904,Benchmark
2013,County or Equivalent,Pierce County,53053,RDEATH,Census-County-State-US,PEP_Vintage_2020,7.1676443226,Broad
1988,National,United States,00,DOMESTICMIG,Moodys-US,Moodys,1127.2935654739103,Benchmark
1993,Metropolitan Statistical Area,Seattle MSA,42660,INTERNATIONALMIG,Moodys-CBSA,Moodys,15193.83131927405,Benchmark
1990,Metropolitan Statistical Area,Seattle MSA,42660,INTERNATIONALMIG,Moodys-CBSA,Moodys,42285.090977486296,Benchmark
2021,Metropolitan Statistical Area,Seattle MSA,42660,DEATHS,Census-CBSA,PEP_Vintage_2025,-28603.0,Benchmark
2016,National,United States,00,NETMIG,Census-County-State-US,PEP_Vintage_2020,1065017.0,Benchmark
1995,State,Washington,53,POPESTIMATE,Moodys-State,Moodys,5481026.85546875,Benchmark
2008,National,United States,00,DOMESTICMIG,Moodys-US,Moodys,-8.019963504447333,Benchmark
1994,National,United States,00,DOMESTICMIG,Moodys-US,Moodys,1410.4865880191596,Benchmark
2012,Region,Puget Sound Region,53033-53035-53053-53061,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,15.2777457221,Benchmark
1990,Metropolitan Statistical Area,Seattle MSA,42660,DOMESTICMIG,Moodys-CBSA,Moodys,20234.872877621623,Benchmark
1995,State,Washington,53,INTERNATIONALMIG,Moodys-State,Moodys,32395.86425641229,Benchmark
2014,County or Equivalent,Pierce County,53053,NETMIG,Census-County-State-US,PEP_Vintage_2020,6316.0,Broad
2022,Metropolitan Statistical Area,Seattle MSA,42660,NETMIG,Census-CBSA,PEP_Vintage_2025,5744.0,Benchmark
2006,Region,Puget Sound Region,53033-53035-53053-53061,BIRTHS,Moodys-County,Moodys,46430.01984714589,Benchmark
2023,State,Washington,53,NATURALCHG,Census-County-State-US,PEP_Vintage_2025,14432.0,Benchmark
2011,State,Washington,53,RNATURALCHG,Census-County-State-US,PEP_Vintage_2020,5.4345871718,Benchmark
2025,Metropolitan Statistical Area,Seattle MSA,42660,RNETMIG,Census-CBSA,PEP_Vintage_2025,19.008097091,Benchmark
1989,National,United States,00,INTERNATIONALMIG,Moodys-US,Moodys,465167.06434286863,Benchmark
1984,Metropolitan Statistical Area,Seattle MSA,42660,RESIDUAL,Moodys-CBSA,Moodys,-840.254866040068,Benchmark
2006,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Moodys-County,Moodys,24321.212620854436,Benchmark
2010,Metropolitan Statistical Area,Seattle MSA,42660,GQESTIMATESBASE,Census-CBSA,PEP_Vintage_2020,65470.0,Benchmark
2017,County or Equivalent,Pierce County,53053,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,1.9601673364,Broad
1997,National,United States,00,NATURALCHG,Moodys-US,Moodys,1599150.9343892245,Benchmark
1999,Place,"Fife, WA",5323795,POPESTIMATE,Census-Place,PEP City and Town Postcensal Tables: 1990-2000,4625.0,Focus
2022,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,-22482.0,Benchmark
2021,County or Equivalent,Pierce County,53053,NETMIG,Census-County-State-US,PEP_Vintage_2025,-99.0,Broad
2012,Metropolitan Statistical Area,Seattle MSA,42660,DEATHS,Census-CBSA,PEP_Vintage_2020,-22392.0,Benchmark
1995,Region,Puget Sound Region,53033-53035-53053-53061,BIRTHS,Moodys-County,Moodys,42916.32710953039,Benchmark
1994,National,United States,00,BIRTHS,Moodys-US,Moodys,4014439.5809108033,Benchmark
2002,Region,Puget Sound Region,53033-53035-53053-53061,DEATHS,Moodys-County,Moodys,-22807.379324558337,Benchmark
2013,National,United States,00,RBIRTH,Census-County-State-US,PEP_Vintage_2020,12.511004086,Benchmark
1989,County or Equivalent,Pierce County,53053,RESIDUAL,Moodys-County,Moodys,-216.38239059072464,Broad
2020,National,United States,00,DEATHS,Census-County-State-US,PEP_Vintage_2025,-3408096.0,Benchmark
2022,Metropolitan Statistical Area,Seattle MSA,42660,RNETMIG,Census-CBSA,PEP_Vintage_2025,2.6806979679999996,Benchmark
2014,Region,Puget Sound Region,53033-53035-53053-53061,POPESTIMATE,Census-County-State-US,PEP_Vintage_2020,3930333.0,Benchmark
2022,State,Washington,53,BIRTHS,Census-County-State-US,PEP_Vintage_2025,83955.0,Benchmark
2023,County or Equivalent,Pierce County,53053,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2025,3822.0,Broad
2016,Metropolitan Statistical Area,Seattle MSA,42660,NETMIG,Census-CBSA,PEP_Vintage_2020,54724.0,Benchmark
1992,National,United States,00,DOMESTICMIG,Moodys-US,Moodys,1423.6004114930097,Benchmark
2016,National,United States,00,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,0.0,Benchmark
1987,Metropolitan Statistical Area,Seattle MSA,42660,POPESTIMATE,Moodys-CBSA,Moodys,2356245.000359672,Benchmark
2018,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,9191.0,Benchmark
2025,County or Equivalent,Pierce County,53053,RNETMIG,Census-County-State-US,PEP_Vintage_2025,4.010447098,Broad
1985,Region,Puget Sound Region,53033-53035-53053-53061,INTERNATIONALMIG,Moodys-County,Moodys,18915.81351862518,Benchmark
2005,State,Washington,53,DEATHS,Moodys-State,Moodys,-46144.31736632238,Benchmark
2011,Region,Puget Sound Region,53033-53035-53053-53061,RNATURALCHG,Census-County-State-US,PEP_Vintage_2020,22.210940466300002,Benchmark
2013,County or Equivalent,Pierce County,53053,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,1.9485925847,Broad
2002,Region,Puget Sound Region,53033-53035-53053-53061,POPESTIMATE,Moodys-County,Moodys,3356430.9999999995,Benchmark
1990,State,Washington,53,NATURALCHG,Moodys-State,Moodys,42234.21947481947,Benchmark
2014,State,Washington,53,DEATHS,Census-County-State-US,PEP_Vintage_2020,-51279.0,Benchmark
1987,Region,Puget Sound Region,53033-53035-53053-53061,NATURALCHG,Moodys-County,Moodys,21407.162323591798,Benchmark
2022,County or Equivalent,Pierce County,53053,RNETMIG,Census-County-State-US,PEP_Vintage_2025,-2.372736279,Broad
1983,State,Washington,53,RESIDUAL,Moodys-State,Moodys,-1631.0,Benchmark
1996,County or Equivalent,Pierce County,53053,NATURALCHG,Moodys-County,Moodys,4746.187193379324,Broad
2005,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Moodys-County,Moodys,1721.8219725721938,Benchmark
2021,Region,Puget Sound Region,53033-53035-53053-53061,RNETMIG,Census-County-State-US,PEP_Vintage_2025,-8.027575725999998,Benchmark
1999,National,United States,00,BIRTHS,Moodys-US,Moodys,4030833.1121064387,Benchmark
2013,Metropolitan Statistical Area,Seattle MSA,42660,GQESTIMATES,Census-CBSA,PEP_Vintage_2020,68536.0,Benchmark
1987,National,United States,00,DOMESTICMIG,Moodys-US,Moodys,1171.807184332567,Benchmark
2017,Metropolitan Statistical Area,Seattle MSA,42660,NPOPCHG,Census-CBSA,PEP_Vintage_2020,69054.0,Benchmark
2019,Metropolitan Statistical Area,Seattle MSA,42660,NPOPCHG,Census-CBSA,PEP_Vintage_2020,40239.0,Benchmark
2018,Region,Puget Sound Region,53033-53035-53053-53061,NETMIG,Census-County-State-US,PEP_Vintage_2020,30504.0,Benchmark
2018,National,United States,00,NPOPCHG,Census-County-State-US,PEP_Vintage_2020,1716071.0,Benchmark
2020,Region,Puget Sound Region,53033-53035-53053-53061,GQESTIMATESBASE,Census-County-State-US,PEP_Vintage_2025,85236.0,Benchmark
2014,State,Washington,53,NPOPCHG,Census-County-State-US,PEP_Vintage_2020,91279.0,Benchmark
2023,Metropolitan Statistical Area,Seattle MSA,42660,DOMESTICMIG,Census-CBSA,PEP_Vintage_2025,-26640.0,Benchmark
2020,National,United States,00,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2025,79568.0,Benchmark
2016,Region,Puget Sound Region,53033-53035-53053-53061,RNETMIG,Census-County-State-US,PEP_Vintage_2020,57.785141153,Benchmark
2016,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,33420.0,Benchmark
2017,National,United States,00,RDEATH,Census-County-State-US,PEP_Vintage_2020,8.6028673615,Benchmark
2023,State,Washington,53,BIRTHS,Census-County-State-US,PEP_Vintage_2025,82165.0,Benchmark
2015,National,United States,00,DEATHS,Census-County-State-US,PEP_Vintage_2020,-2699826.0,Benchmark
1987,State,Washington,53,INTERNATIONALMIG,Moodys-State,Moodys,6821.1454921585055,Benchmark
2016,County or Equivalent,Pierce County,53053,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,1917.0,Broad
2010,National,United States,00,NETMIG,Census-County-State-US,PEP_Vintage_2020,179893.0,Benchmark
1995,State,Washington,53,RESIDUAL,Moodys-State,Moodys,-2079.000000000001,Benchmark
2018,Place,"Fife, WA",5323795,POPESTIMATE,Census-Place,PEP_Vintage_2020,10350.0,Focus
2006,National,United States,00,NATURALCHG,Moodys-US,Moodys,1759450.7472363154,Benchmark
1984,Metropolitan Statistical Area,Seattle MSA,42660,NATURALCHG,Moodys-CBSA,Moodys,17768.795849003338,Benchmark
2018,Metropolitan Statistical Area,Seattle MSA,42660,RESIDUAL,Census-CBSA,PEP_Vintage_2020,5.0,Benchmark
1983,County or Equivalent,Pierce County,53053,POPESTIMATE,Moodys-County,Moodys,511837.3567885894,Broad
2004,County or Equivalent,Pierce County,53053,DEATHS,Moodys-County,Moodys,-5371.843934675401,Broad
2015,National,United States,00,BIRTHS,Census-County-State-US,PEP_Vintage_2020,3992376.0,Benchmark
2014,Region,Puget Sound Region,53033-53035-53053-53061,NETMIG,Census-County-State-US,PEP_Vintage_2020,40557.0,Benchmark
2022,Metropolitan Statistical Area,Seattle MSA,42660,RDOMESTICMIG,Census-CBSA,PEP_Vintage_2025,-14.844076119,Benchmark
1994,Metropolitan Statistical Area,Seattle MSA,42660,INTERNATIONALMIG,Moodys-CBSA,Moodys,15539.390783812512,Benchmark
2016,Metropolitan Statistical Area,Seattle MSA,42660,NATURALCHG,Census-CBSA,PEP_Vintage_2020,23154.0,Benchmark
2023,National,United States,00,RNETMIG,Census-County-State-US,PEP_Vintage_2025,6.7510471049,Benchmark
2023,National,United States,00,RNATURALCHG,Census-County-State-US,PEP_Vintage_2025,1.4747968694,Benchmark
2012,State,Washington,53,BIRTHS,Census-County-State-US,PEP_Vintage_2020,86710.0,Benchmark
1982,County or Equivalent,Pierce County,53053,NATURALCHG,Moodys-County,Moodys,5827.556441388142,Broad
1996,County or Equivalent,Pierce County,53053,RESIDUAL,Moodys-County,Moodys,-248.84254120468503,Broad
2000,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Moodys-County,Moodys,3210.129751154008,Benchmark
2015,State,Washington,53,RBIRTH,Census-County-State-US,PEP_Vintage_2020,12.482268666,Benchmark
2016,State,Washington,53,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,67588.0,Benchmark
2020,State,Washington,53,RESIDUAL,Census-County-State-US,PEP_Vintage_2025,775.0,Benchmark
2025,State,Washington,53,GQESTIMATES,Census-County-State-US,PEP_Vintage_2025,156821.0,Benchmark
2013,Place,"Fife, WA",5323795,POPESTIMATE,Census-Place,PEP_Vintage_2020,9530.0,Focus
2017,Metropolitan Statistical Area,Seattle MSA,42660,RDOMESTICMIG,Census-CBSA,PEP_Vintage_2020,22.8273756277,Benchmark
2022,Metropolitan Statistical Area,Seattle MSA,42660,INTERNATIONALMIG,Census-CBSA,PEP_Vintage_2025,28973.0,Benchmark
2019,State,Washington,53,POPESTIMATE,Census-County-State-US,PEP_Vintage_2020,7614024.0,Benchmark
2011,Region,Puget Sound Region,53033-53035-53053-53061,BIRTHS,Census-County-State-US,PEP_Vintage_2020,47266.0,Benchmark
2024,National,United States,00,RDOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,0.0,Benchmark
2015,Metropolitan Statistical Area,Seattle MSA,42660,DEATHS,Census-CBSA,PEP_Vintage_2020,-24345.0,Benchmark
2003,Metropolitan Statistical Area,Seattle MSA,42660,DEATHS,Moodys-CBSA,Moodys,-21032.87830476636,Benchmark
2025,National,United States,00,NPOPCHG,Census-County-State-US,PEP_Vintage_2025,1781060.0,Benchmark
1999,Metropolitan Statistical Area,Seattle MSA,42660,BIRTHS,Moodys-CBSA,Moodys,40607.19763203414,Benchmark
2019,Region,Puget Sound Region,53033-53035-53053-53061,GQESTIMATES,Census-County-State-US,PEP_Vintage_2020,80547.0,Benchmark
1995,Region,Puget Sound Region,53033-53035-53053-53061,NATURALCHG,Moodys-County,Moodys,21852.71352969939,Benchmark
1988,State,Washington,53,DOMESTICMIG,Moodys-State,Moodys,52844.85407065907,Benchmark
2004,Place,"Fife, WA",5323795,POPESTIMATE,Census-Place,PEP City and Town Intercensal Datasets: 2000-2010,6698.0,Focus
1990,Metropolitan Statistical Area,Seattle MSA,42660,BIRTHS,Moodys-CBSA,Moodys,41906.61455559833,Benchmark
2001,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Moodys-County,Moodys,5245.731849032308,Benchmark
2015,County or Equivalent,Pierce County,53053,DEATHS,Census-County-State-US,PEP_Vintage_2020,-6371.0,Broad
2005,Region,Puget Sound Region,53033-53035-53053-53061,INTERNATIONALMIG,Moodys-County,Moodys,15602.659721931837,Benchmark
2013,National,United States,00,RNETMIG,Census-County-State-US,PEP_Vintage_2020,2.6978163801,Benchmark
2018,Region,Puget Sound Region,53033-53035-53053-53061,NATURALCHG,Census-County-State-US,PEP_Vintage_2020,21169.0,Benchmark
2004,State,Washington,53,INTERNATIONALMIG,Moodys-State,Moodys,27745.379653155425,Benchmark
1990,National,United States,00,DEATHS,Moodys-US,Moodys,-2147678.6520584705,Benchmark
2010,National,United States,00,NPOPCHG,Census-County-State-US,PEP_Vintage_2020,569038.0,Benchmark
2025,National,United States,00,RDEATH,Census-County-State-US,PEP_Vintage_2025,9.0984294966,Benchmark
1996,State,Washington,53,INTERNATIONALMIG,Moodys-State,Moodys,21533.214832220972,Benchmark
2002,State,Washington,53,DOMESTICMIG,Moodys-State,Moodys,13706.99999999735,Benchmark
2001,County or Equivalent,Pierce County,53053,NATURALCHG,Moodys-County,Moodys,4838.757617155091,Broad
2018,County or Equivalent,Pierce County,53053,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,1.2254349844,Broad
2022,County or Equivalent,Pierce County,53053,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2025,2352.0,Broad
2010,Metropolitan Statistical Area,Seattle MSA,42660,CENSUS,Census-CBSA,PEP_Vintage_2020,3439809.0,Benchmark
2001,Metropolitan Statistical Area,Seattle MSA,42660,NATURALCHG,Moodys-CBSA,Moodys,20115.25116679406,Benchmark
2020,Metropolitan Statistical Area,Seattle MSA,42660,NPOPCHG,Census-CBSA,PEP_Vintage_2025,9048.0,Benchmark
1981,National,United States,00,BIRTHS,Moodys-US,Moodys,3632767.1263585957,Benchmark
2016,County or Equivalent,Pierce County,53053,RDEATH,Census-County-State-US,PEP_Vintage_2020,7.6308843596,Broad
1985,National,United States,00,BIRTHS,Moodys-US,Moodys,3731735.9206301193,Benchmark
2010,Region,Puget Sound Region,53033-53035-53053-53061,NETMIG,Census-County-State-US,PEP_Vintage_2020,3913.0,Benchmark
2021,County or Equivalent,Pierce County,53053,RDOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,-1.041376908,Broad
2015,Region,Puget Sound Region,53033-53035-53053-53061,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,18.861816102600002,Benchmark
1993,County or Equivalent,Pierce County,53053,RESIDUAL,Moodys-County,Moodys,-239.0540667284505,Broad
2013,County or Equivalent,Pierce County,53053,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,1595.0,Broad
1988,State,Washington,53,BIRTHS,Moodys-State,Moodys,71281.00564238123,Benchmark
1991,National,United States,00,RESIDUAL,Moodys-US,Moodys,70206.19655240575,Benchmark
2016,County or Equivalent,Pierce County,53053,GQESTIMATES,Census-County-State-US,PEP_Vintage_2020,20341.0,Broad
2001,Metropolitan Statistical Area,Seattle MSA,42660,INTERNATIONALMIG,Moodys-CBSA,Moodys,15856.346177105916,Benchmark
2018,National,United States,00,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,0.0,Benchmark
1993,County or Equivalent,Pierce County,53053,POPESTIMATE,Moodys-County,Moodys,630333.9656139314,Broad
2010,Metropolitan Statistical Area,Seattle MSA,42660,POPESTIMATE,Census-CBSA,PEP_Vintage_2020,3449355.0,Benchmark
1981,Metropolitan Statistical Area,Seattle MSA,42660,RESIDUAL,Moodys-CBSA,Moodys,-815.8239858426626,Benchmark
2012,State,Washington,53,NETMIG,Census-County-State-US,PEP_Vintage_2020,34188.0,Benchmark
2025,State,Washington,53,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,9238.0,Benchmark
2015,Metropolitan Statistical Area,Seattle MSA,42660,POPESTIMATE,Census-CBSA,PEP_Vintage_2020,3741711.0,Benchmark
1997,Region,Puget Sound Region,53033-53035-53053-53061,POPESTIMATE,Moodys-County,Moodys,3147474.038849103,Benchmark
2019,County or Equivalent,Pierce County,53053,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,5466.0,Broad
2024,County or Equivalent,Pierce County,53053,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,1028.0,Broad
2015,National,United States,00,NATURALCHG,Census-County-State-US,PEP_Vintage_2020,1292550.0,Benchmark
1991,Metropolitan Statistical Area,Seattle MSA,42660,POPESTIMATE,Moodys-CBSA,Moodys,2630705.0234547555,Benchmark
2007,Metropolitan Statistical Area,Seattle MSA,42660,NATURALCHG,Moodys-CBSA,Moodys,23863.802079902907,Benchmark
1986,National,United States,00,RESIDUAL,Moodys-US,Moodys,67870.79791699171,Benchmark
1995,Region,Puget Sound Region,53033-53035-53053-53061,RESIDUAL,Moodys-County,Moodys,-1152.347102945267,Benchmark
1991,County or Equivalent,Pierce County,53053,BIRTHS,Moodys-County,Moodys,10500.646564338387,Broad
2022,Region,Puget Sound Region,53033-53035-53053-53061,RNETMIG,Census-County-State-US,PEP_Vintage_2025,6.706040312000001,Benchmark
2024,County or Equivalent,Pierce County,53053,NETMIG,Census-County-State-US,PEP_Vintage_2025,5756.0,Broad
2018,National,United States,00,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,2.2083276242,Benchmark
2025,Metropolitan Statistical Area,Seattle MSA,42660,RNATURALCHG,Census-CBSA,PEP_Vintage_2025,10.239789651999999,Benchmark
2011,Region,Puget Sound Region,53033-53035-53053-53061,RDEATH,Census-County-State-US,PEP_Vintage_2020,28.0039767011,Benchmark
1982,Metropolitan Statistical Area,Seattle MSA,42660,BIRTHS,Moodys-CBSA,Moodys,34355.842907965685,Benchmark
2022,County or Equivalent,Pierce County,53053,RESIDUAL,Census-County-State-US,PEP_Vintage_2025,-584.0,Broad
2024,County or Equivalent,Pierce County,53053,RESIDUAL,Census-County-State-US,PEP_Vintage_2025,-54.0,Broad
1993,County or Equivalent,Pierce County,53053,DEATHS,Moodys-County,Moodys,-4649.756756368065,Broad
2020,Metropolitan Statistical Area,Seattle MSA,42660,POPESTIMATE,Census-CBSA,PEP_Vintage_2025,4027814.0,Benchmark
1987,State,Washington,53,DEATHS,Moodys-State,Moodys,-34511.00950433107,Benchmark
2023,State,Washington,53,NPOPCHG,Census-County-State-US,PEP_Vintage_2025,51827.0,Benchmark
2024,State,Washington,53,NETMIG,Census-County-State-US,PEP_Vintage_2025,72889.0,Benchmark
2003,National,United States,00,NATURALCHG,Moodys-US,Moodys,1628939.5608129846,Benchmark
2017,State,Washington,53,NPOPCHG,Census-County-State-US,PEP_Vintage_2020,127990.0,Benchmark
2006,Region,Puget Sound Region,53033-53035-53053-53061,DEATHS,Moodys-County,Moodys,-22592.651938479357,Benchmark
2024,County or Equivalent,Pierce County,53053,RNATURALCHG,Census-County-State-US,PEP_Vintage_2025,2.860205837,Broad
2010,Region,Puget Sound Region,53033-53035-53053-53061,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,20136.0,Benchmark
2011,County or Equivalent,Pierce County,53053,RESIDUAL,Census-County-State-US,PEP_Vintage_2020,33.0,Broad
2017,County or Equivalent,Pierce County,53053,POPESTIMATE,Census-County-State-US,PEP_Vintage_2020,880745.0,Broad
2018,State,Washington,53,RDEATH,Census-County-State-US,PEP_Vintage_2020,7.6007987833,Benchmark
1999,National,United States,00,DEATHS,Moodys-US,Moodys,-2399686.53324344,Benchmark
2022,State,Washington,53,RDOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,-0.426755428,Benchmark
2021,Region,Puget Sound Region,53033-53035-53053-53061,DEATHS,Census-County-State-US,PEP_Vintage_2025,-31102.0,Benchmark
2024,National,United States,00,RESIDUAL,Census-County-State-US,PEP_Vintage_2025,0.0,Benchmark
1999,County or Equivalent,Pierce County,53053,POPESTIMATE,Moodys-County,Moodys,692661.9855804868,Broad
2011,County or Equivalent,Pierce County,53053,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,5866.0,Broad
1994,State,Washington,53,RESIDUAL,Moodys-State,Moodys,-2038.0000000000002,Benchmark
1983,National,United States,00,DEATHS,Moodys-US,Moodys,-1998986.0058050284,Benchmark
2013,National,United States,00,DEATHS,Census-County-State-US,PEP_Vintage_2020,-2608019.0,Benchmark
2014,Region,Puget Sound Region,53033-53035-53053-53061,DEATHS,Census-County-State-US,PEP_Vintage_2020,-25457.0,Benchmark
2020,Region,Puget Sound Region,53033-53035-53053-53061,NETMIG,Census-County-State-US,PEP_Vintage_2025,3855.0,Benchmark
2013,Region,Puget Sound Region,53033-53035-53053-53061,GQESTIMATES,Census-County-State-US,PEP_Vintage_2020,77296.0,Benchmark
2005,Metropolitan Statistical Area,Seattle MSA,42660,BIRTHS,Moodys-CBSA,Moodys,41607.49410451544,Benchmark
2018,Region,Puget Sound Region,53033-53035-53053-53061,DEATHS,Census-County-State-US,PEP_Vintage_2020,-27791.0,Benchmark
2013,County or Equivalent,Pierce County,53053,NETMIG,Census-County-State-US,PEP_Vintage_2020,539.0,Broad
1985,State,Washington,53,RESIDUAL,Moodys-State,Moodys,-1669.0000000000002,Benchmark
2011,National,United States,00,NPOPCHG,Census-County-State-US,PEP_Vintage_2020,2256338.0,Benchmark
