Year,Geography Level,NAME,FIPS,Value Type,Source,Dataset,Values,Role
1987,Region,Puget Sound Region,53033-53035-53053-53061,INTERNATIONALMIG,Moodys-County,Moodys,28901.826044341204,Benchmark
2019,National,United States,00,RESIDUAL,Census-County-State-US,PEP_Vintage_2020,0.0,Benchmark
1997,National,United States,00,RESIDUAL,Moodys-US,Moodys,76169.69185631635,Benchmark
2008,County or Equivalent,Pierce County,53053,NATURALCHG,Moodys-County,Moodys,5524.043334018729,Broad
2025,County or Equivalent,Pierce County,53053,RDEATH,Census-County-State-US,PEP_Vintage_2025,8.455659746,Broad
2005,National,United States,00,DOMESTICMIG,Moodys-US,Moodys,1127.7186677064597,Benchmark
2017,Region,Puget Sound Region,53033-53035-53053-53061,RINTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,16.6197690307,Benchmark
1991,County or Equivalent,Pierce County,53053,INTERNATIONALMIG,Moodys-County,Moodys,974.2991052136833,Broad
1985,National,United States,00,DEATHS,Moodys-US,Moodys,-2069124.2852979929,Benchmark
2025,Region,Puget Sound Region,53033-53035-53053-53061,NETMIG,Census-County-State-US,PEP_Vintage_2025,31286.0,Benchmark
2013,State,Washington,53,BIRTHS,Census-County-State-US,PEP_Vintage_2020,87251.0,Benchmark
1988,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Moodys-County,Moodys,16813.041893798683,Benchmark
2020,Metropolitan Statistical Area,Seattle MSA,42660,NATURALCHG,Census-CBSA,PEP_Vintage_2025,17488.0,Benchmark
2022,County or Equivalent,Pierce County,53053,RNATURALCHG,Census-County-State-US,PEP_Vintage_2025,2.646555005,Broad
2012,Metropolitan Statistical Area,Seattle MSA,42660,BIRTHS,Census-CBSA,PEP_Vintage_2020,44828.0,Benchmark
2001,State,Washington,53,DEATHS,Moodys-State,Moodys,-44416.43058986994,Benchmark
2011,State,Washington,53,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,27355.0,Benchmark
2016,State,Washington,53,RDOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,9.3435876678,Benchmark
2012,Metropolitan Statistical Area,Seattle MSA,42660,NPOPCHG,Census-CBSA,PEP_Vintage_2020,55343.0,Benchmark
2023,Metropolitan Statistical Area,Seattle MSA,42660,RDOMESTICMIG,Census-CBSA,PEP_Vintage_2025,-15.185124537,Benchmark
2022,State,Washington,53,GQESTIMATES,Census-County-State-US,PEP_Vintage_2025,156225.0,Benchmark
2012,Region,Puget Sound Region,53033-53035-53053-53061,GQESTIMATES,Census-County-State-US,PEP_Vintage_2020,78812.0,Benchmark
1998,National,United States,00,RESIDUAL,Moodys-US,Moodys,77117.15782518628,Benchmark
2011,Metropolitan Statistical Area,Seattle MSA,42660,DOMESTICMIG,Census-CBSA,PEP_Vintage_2020,16258.0,Benchmark
1997,Region,Puget Sound Region,53033-53035-53053-53061,INTERNATIONALMIG,Moodys-County,Moodys,20153.54421943951,Benchmark
2023,County or Equivalent,Pierce County,53053,BIRTHS,Census-County-State-US,PEP_Vintage_2025,10870.0,Broad
2023,County or Equivalent,Pierce County,53053,NETMIG,Census-County-State-US,PEP_Vintage_2025,1475.0,Broad
1981,County or Equivalent,Pierce County,53053,RESIDUAL,Moodys-County,Moodys,-189.6264849281917,Broad
2018,State,Washington,53,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,23605.0,Benchmark
2008,National,United States,00,RESIDUAL,Moodys-US,Moodys,86722.89847788695,Benchmark
1986,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Moodys-County,Moodys,6203.273411955112,Benchmark
2022,County or Equivalent,Pierce County,53053,BIRTHS,Census-County-State-US,PEP_Vintage_2025,11022.0,Broad
1981,Region,Puget Sound Region,53033-53035-53053-53061,BIRTHS,Moodys-County,Moodys,37537.10279772044,Benchmark
1994,Metropolitan Statistical Area,Seattle MSA,42660,RESIDUAL,Moodys-CBSA,Moodys,-1051.826360738578,Benchmark
2014,Metropolitan Statistical Area,Seattle MSA,42660,RBIRTH,Census-CBSA,PEP_Vintage_2020,38.631334424,Benchmark
1998,Region,Puget Sound Region,53033-53035-53053-53061,DEATHS,Moodys-County,Moodys,-21881.38865365187,Benchmark
1986,County or Equivalent,Pierce County,53053,NATURALCHG,Moodys-County,Moodys,5626.572367139521,Broad
2008,State,Washington,53,INTERNATIONALMIG,Moodys-State,Moodys,19869.596777594943,Benchmark
2025,Region,Puget Sound Region,53033-53035-53053-53061,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2025,37907.0,Benchmark
2022,County or Equivalent,Pierce County,53053,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,-4553.0,Broad
2019,Region,Puget Sound Region,53033-53035-53053-53061,RNATURALCHG,Census-County-State-US,PEP_Vintage_2020,16.985693313200002,Benchmark
2018,Metropolitan Statistical Area,Seattle MSA,42660,INTERNATIONALMIG,Census-CBSA,PEP_Vintage_2020,21264.0,Benchmark
1982,Metropolitan Statistical Area,Seattle MSA,42660,RESIDUAL,Moodys-CBSA,Moodys,-826.0355840305972,Benchmark
2003,Metropolitan Statistical Area,Seattle MSA,42660,DOMESTICMIG,Moodys-CBSA,Moodys,-12600.822021802122,Benchmark
2011,County or Equivalent,Pierce County,53053,DEATHS,Census-County-State-US,PEP_Vintage_2020,-5771.0,Broad
2012,State,Washington,53,RESIDUAL,Census-County-State-US,PEP_Vintage_2020,-349.0,Benchmark
2018,State,Washington,53,POPESTIMATE,Census-County-State-US,PEP_Vintage_2020,7526793.0,Benchmark
2010,National,United States,00,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,0.0,Benchmark
1999,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Moodys-County,Moodys,7008.528677604189,Benchmark
2024,County or Equivalent,Pierce County,53053,RBIRTH,Census-County-State-US,PEP_Vintage_2025,11.25698351,Broad
1990,National,United States,00,POPESTIMATE,Moodys-US,Moodys,249670110.9251238,Benchmark
2018,National,United States,00,BIRTHS,Census-County-State-US,PEP_Vintage_2020,3835477.0,Benchmark
1991,Region,Puget Sound Region,53033-53035-53053-53061,BIRTHS,Moodys-County,Moodys,45065.063799583804,Benchmark
1987,National,United States,00,RESIDUAL,Moodys-US,Moodys,68439.02251837523,Benchmark
2022,County or Equivalent,Pierce County,53053,GQESTIMATES,Census-County-State-US,PEP_Vintage_2025,22518.0,Broad
2013,Metropolitan Statistical Area,Seattle MSA,42660,NETMIG,Census-CBSA,PEP_Vintage_2020,31540.0,Benchmark
2012,Metropolitan Statistical Area,Seattle MSA,42660,NETMIG,Census-CBSA,PEP_Vintage_2020,32981.0,Benchmark
2022,Region,Puget Sound Region,53033-53035-53053-53061,POPESTIMATE,Census-County-State-US,PEP_Vintage_2025,4311943.0,Benchmark
1991,State,Washington,53,POPESTIMATE,Moodys-State,Moodys,5025624.0234375,Benchmark
1992,State,Washington,53,BIRTHS,Moodys-State,Moodys,80989.08943811504,Benchmark
2011,State,Washington,53,DEATHS,Census-County-State-US,PEP_Vintage_2020,-49817.0,Benchmark
2013,State,Washington,53,RNETMIG,Census-County-State-US,PEP_Vintage_2020,4.5738681216,Benchmark
2020,State,Washington,53,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,47516.0,Benchmark
1991,Place,"Fife, WA",5323795,POPESTIMATE,Census-Place,PEP City and Town Postcensal Tables: 1990-2000,4748.0,Focus
2009,State,Washington,53,INTERNATIONALMIG,Moodys-State,Moodys,26968.194869691983,Benchmark
2024,State,Washington,53,RNATURALCHG,Census-County-State-US,PEP_Vintage_2025,2.1176393433,Benchmark
1990,National,United States,00,RESIDUAL,Moodys-US,Moodys,69430.41142882011,Benchmark
2022,National,United States,00,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,0.0,Benchmark
2020,Metropolitan Statistical Area,Seattle MSA,42660,NETMIG,Census-CBSA,PEP_Vintage_2025,3837.0,Benchmark
1983,Region,Puget Sound Region,53033-53035-53053-53061,BIRTHS,Moodys-County,Moodys,37183.45832632576,Benchmark
2014,State,Washington,53,RDOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,3.4817994545,Benchmark
2007,National,United States,00,RESIDUAL,Moodys-US,Moodys,237600.44429097945,Benchmark
1990,Region,Puget Sound Region,53033-53035-53053-53061,DOMESTICMIG,Moodys-County,Moodys,27951.044100039944,Benchmark
2019,Region,Puget Sound Region,53033-53035-53053-53061,INTERNATIONALMIG,Census-County-State-US,PEP_Vintage_2020,18987.0,Benchmark
1986,Metropolitan Statistical Area,Seattle MSA,42660,BIRTHS,Moodys-CBSA,Moodys,36067.54139871525,Benchmark
2024,Metropolitan Statistical Area,Seattle MSA,42660,NETMIG,Census-CBSA,PEP_Vintage_2025,42247.0,Benchmark
2015,Region,Puget Sound Region,53033-53035-53053-53061,POPESTIMATE,Census-County-State-US,PEP_Vintage_2020,4001178.0,Benchmark
