Year,Geography Level,NAME,FIPS,Value Type,Source,Dataset,Values,Role
2017,Metropolitan Statistical Area,Dallas MSA,19100,POPESTIMATE,Census-CBSA,PEP_Vintage_2020,7337707.0,Peer
1990,Metropolitan Statistical Area,San Antonio MSA,41700,DEATHS,Moodys-CBSA,Moodys,-10066.614734304878,Peer
2013,Place,Austin City,4805000,POPESTIMATE,Census-Place,PEP_Vintage_2020,875241.0,Peer
1999,State,Texas,48,DEATHS,Moodys-State,Moodys,-146921.66304051026,Benchmark
2014,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,DOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,22020.0,Peer
2014,Metropolitan Statistical Area,Austin MSA,12420,NATURALCHG,Census-CBSA,PEP_Vintage_2020,16948.0,Broad
2011,Metropolitan Statistical Area,Houston MSA,26420,RBIRTH,Census-CBSA,PEP_Vintage_2020,132.5325742342,Peer
1996,Metropolitan Statistical Area,Dallas MSA,19100,INTERNATIONALMIG,Moodys-CBSA,Moodys,46192.89841752596,Peer
2001,Metropolitan Statistical Area,San Antonio MSA,41700,INTERNATIONALMIG,Moodys-CBSA,Moodys,3882.253013144334,Peer
2001,State,Texas,48,DOMESTICMIG,Moodys-State,Moodys,40516.99999998671,Benchmark
2016,National,US,00,NPOPCHG,Census-County-State-US,PEP_Vintage_2020,2332761.0,Benchmark
2019,County or Equivalent,Travis County,48453,RESIDUAL,Census-County-State-US,PEP_Vintage_2020,89.0,Focus
1991,State,Texas,48,POPESTIMATE,Moodys-State,Moodys,17398005.85937501,Benchmark
2023,Metropolitan Statistical Area,San Antonio MSA,41700,DOMESTICMIG,Census-CBSA,PEP_Vintage_2025,30030.0,Peer
2012,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,RDOMESTICMIG,Census-County-State-US,PEP_Vintage_2020,50.9018665559,Peer
1999,National,US,00,BIRTHS,Moodys-US,Moodys,4030833.1121064387,Benchmark
1983,State,Texas,48,POPESTIMATE,Moodys-State,Moodys,15751679.687500013,Benchmark
1986,Metropolitan Statistical Area,San Antonio MSA,41700,DOMESTICMIG,Moodys-CBSA,Moodys,11757.459594821641,Peer
2022,Region,WFSRCA Region,48021-48031-48053-48055-48149-48209-48287-48299-48491,RDOMESTICMIG,Census-County-State-US,PEP_Vintage_2025,251.99585368,Peer
1984,County or Equivalent,Travis County,48453,DEATHS,Moodys-County,Moodys,-2695.3574704699695,Focus
2016,County or Equivalent,Travis County,48453,BIRTHS,Census-County-State-US,PEP_Vintage_2020,16301.0,Focus
2017,Metropolitan Statistical Area,Dallas MSA,19100,GQESTIMATES,Census-CBSA,PEP_Vintage_2020,82785.0,Peer
2020,County or Equivalent,Travis County,48453,NPOPCHG,Census-County-State-US,PEP_Vintage_2025,6415.0,Focus
